Freq.	V(vin)/I(CB)	V(vc)/Ic(Q1)	V(vc)/V(vin)
4.46683592150962e+03	(6.95521686965179e+01dB,1.74410233688529e+02°)	(7.41514035219091e+01dB,-1.79999999999993e+02°)	(4.56008478031547e+01dB,-1.72290081054376e+02°)
5.01187233627271e+03	(6.95397488699641e+01dB,1.74418099795179e+02°)	(7.41514035219493e+01dB,1.79999999999972e+02°)	(4.56171473263670e+01dB,-1.73128627585947e+02°)
5.62341325190348e+03	(6.95287645762007e+01dB,1.74354896478506e+02°)	(7.41514035219563e+01dB,-1.79999999999997e+02°)	(4.56301380152063e+01dB,-1.73879561551044e+02°)
6.30957344480191e+03	(6.95186555910095e+01dB,1.74219113563673e+02°)	(7.41514035219394e+01dB,1.79999999999990e+02°)	(4.56404843720691e+01dB,-1.74551819668711e+02°)
7.07945784384136e+03	(6.95089006309317e+01dB,1.74008547039007e+02°)	(7.41514035219496e+01dB,-1.79999999999997e+02°)	(4.56487200266354e+01dB,-1.75153588824065e+02°)
7.94328234724279e+03	(6.94989931390753e+01dB,1.73720225563287e+02°)	(7.41514035219287e+01dB,1.79999999999999e+02°)	(4.56552725452280e+01dB,-1.75692331389634e+02°)
8.91250938133743e+03	(6.94884170220891e+01dB,1.73350351611717e+02°)	(7.41514035218967e+01dB,1.79999999999999e+02°)	(4.56604838926243e+01dB,-1.76174824148479e+02°)
9.99999999999997e+03	(6.94766215942676e+01dB,1.72894254760464e+02°)	(7.41514035218954e+01dB,-1.79999999999976e+02°)	(4.56646271711819e+01dB,-1.76607205033850e+02°)
1.12201845430196e+04	(6.94629948905439e+01dB,1.72346357016299e+02°)	(7.41514035219514e+01dB,1.79999999999995e+02°)	(4.56679202279631e+01dB,-1.76995023640356e+02°)
1.25892541179416e+04	(6.94468344650232e+01dB,1.71700152591602e+02°)	(7.41514035219047e+01dB,-1.79999999999996e+02°)	(4.56705366609230e+01dB,-1.77343292756574e+02°)
1.41253754462275e+04	(6.94273148006974e+01dB,1.70948207261394e+02°)	(7.41514035219456e+01dB,1.79999999999996e+02°)	(4.56726146862066e+01dB,-1.77656539113862e+02°)
1.58489319246111e+04	(6.94034505418945e+01dB,1.70082185567530e+02°)	(7.41514035219338e+01dB,1.79999999999996e+02°)	(4.56742642594984e+01dB,-1.77938852224124e+02°)
1.77827941003892e+04	(6.93740549670009e+01dB,1.69092917761929e+02°)	(7.41514035219659e+01dB,1.79999999999997e+02°)	(4.56755727801459e+01dB,-1.78193930657722e+02°)
1.99526231496887e+04	(6.93376935121204e+01dB,1.67970522506630e+02°)	(7.41514035219514e+01dB,1.79999999999991e+02°)	(4.56766096496967e+01dB,-1.78425125445011e+02°)
2.23872113856833e+04	(6.92926328286153e+01dB,1.66704605790427e+02°)	(7.41514035219311e+01dB,1.79999999999997e+02°)	(4.56774299072117e+01dB,-1.78635480511449e+02°)
2.51188643150957e+04	(6.92367869228983e+01dB,1.65284560749606e+02°)	(7.41514035219438e+01dB,-1.79999999999999e+02°)	(4.56780771220117e+01dB,-1.78827770207270e+02°)
2.81838293126444e+04	(6.91676635047458e+01dB,1.63699996041278e+02°)	(7.41514035219370e+01dB,-1.79999999999998e+02°)	(4.56785856897173e+01dB,-1.79004534090691e+02°)
3.16227766016837e+04	(6.90823158466619e+01dB,1.61941320306559e+02°)	(7.41514035219478e+01dB,1.79999999999997e+02°)	(4.56789826486667e+01dB,-1.79168109184730e+02°)
3.54813389233574e+04	(6.89773082085431e+01dB,1.60000504372306e+02°)	(7.41514035219212e+01dB,-1.79999999999998e+02°)	(4.56792891101661e+01dB,-1.79320659963806e+02°)
3.98107170553496e+04	(6.88487059586038e+01dB,1.57872027663869e+02°)	(7.41514035219105e+01dB,1.79999999999999e+02°)	(4.56795213766640e+01dB,-1.79464206345642e+02°)
4.46683592150961e+04	(6.86921042936207e+01dB,1.55553987213532e+02°)	(7.41514035219009e+01dB,-1.79999999999998e+02°)	(4.56796918060911e+01dB,-1.79600649972583e+02°)
5.01187233627270e+04	(6.85027107916001e+01dB,1.53049304508095e+02°)	(7.41514035219022e+01dB,-1.80000000000000e+02°)	(4.56798094675693e+01dB,-1.79731799068549e+02°)
5.62341325190347e+04	(6.82754952954515e+01dB,1.50366909346209e+02°)	(7.41514035219577e+01dB,1.80000000000000e+02°)	(4.56798806228952e+01dB,-1.79859392156248e+02°)
6.30957344480191e+04	(6.80054140787278e+01dB,1.47522720537782e+02°)	(7.41514035219587e+01dB,-1.80000000000000e+02°)	(4.56799090591173e+01dB,-1.79985120916120e+02°)
7.07945784384135e+04	(6.76877028566595e+01dB,1.44540199920102e+02°)	(7.41514035218974e+01dB,-1.80000000000000e+02°)	(4.56798962897289e+01dB,1.79889347534948e+02°)
7.94328234724278e+04	(6.73182159003306e+01dB,1.41450255135516e+02°)	(7.41514035219031e+01dB,1.79999999999999e+02°)	(4.56798416350861e+01dB,1.79762348669782e+02°)
8.91250938133742e+04	(6.68937701627030e+01dB,1.38290331660232e+02°)	(7.41514035219029e+01dB,1.79999999999999e+02°)	(4.56797421862944e+01dB,1.79632198608196e+02°)
9.99999999999995e+04	(6.64124404973018e+01dB,1.35102671192158e+02°)	(7.41514035219399e+01dB,-1.79999999999998e+02°)	(4.56795926506587e+01dB,1.79497171931581e+02°)
1.12201845430196e+05	(6.58737516686507e+01dB,1.31931895456093e+02°)	(7.41514035219060e+01dB,1.79999999999997e+02°)	(4.56793850705434e+01dB,1.79355478979501e+02°)
1.25892541179416e+05	(6.52787283733829e+01dB,1.28822245038691e+02°)	(7.41514035218909e+01dB,1.79999999999993e+02°)	(4.56791084008249e+01dB,1.79205242350128e+02°)
1.41253754462275e+05	(6.46297928471552e+01dB,1.25814897090082e+02°)	(7.41514035218938e+01dB,1.79999999999997e+02°)	(4.56787479226983e+01dB,1.79044472322471e+02°)
1.58489319246111e+05	(6.39305316229065e+01dB,1.22945764317387e+02°)	(7.41514035219195e+01dB,-1.79999999999999e+02°)	(4.56782844630534e+01dB,1.78871040914407e+02°)
1.77827941003891e+05	(6.31853775900762e+01dB,1.20244049776283e+02°)	(7.41514035219534e+01dB,-1.79999999999996e+02°)	(4.56776933785372e+01dB,1.78682654287492e+02°)
