Freq.	V(vc)/V(vin)	V(vin)/I(CB)	V(vc)/Ic(Q1)
6.68343917568615e+02	(4.29897611885318e+01dB,-1.37851181429132e+02°)	(6.85798558304551e+01dB,1.59181415729424e+02°)	(7.41599149284604e+01dB,-1.79999999999866e+02°)
7.07945784384138e+02	(4.32083426898034e+01dB,-1.39484266811256e+02°)	(6.84277138370820e+01dB,1.59697317643992e+02°)	(7.41599149284659e+01dB,1.79999999999997e+02°)
7.49894209332456e+02	(4.34128816521768e+01dB,-1.41103126076217e+02°)	(6.82832560041290e+01dB,1.60244083408783e+02°)	(7.41599149284636e+01dB,-1.79999999999917e+02°)
7.94328234724282e+02	(4.36036684738962e+01dB,-1.42702741963912e+02°)	(6.81467236278182e+01dB,1.60816153954081e+02°)	(7.41599149284642e+01dB,-1.79999999999827e+02°)
8.41395141645195e+02	(4.37810724588186e+01dB,-1.44278401223073e+02°)	(6.80182489001054e+01dB,1.61408046682549e+02°)	(7.41599149284558e+01dB,1.79999999999969e+02°)
8.91250938133746e+02	(4.39455329140056e+01dB,-1.45825755895883e+02°)	(6.78978627087632e+01dB,1.62014452054994e+02°)	(7.41599149284567e+01dB,1.79999999999972e+02°)
9.44060876285924e+02	(4.40975490445599e+01dB,-1.47340871793683e+02°)	(6.77855043402241e+01dB,1.62630314990347e+02°)	(7.41599149284548e+01dB,-1.79999999999928e+02°)
1.00000000000000e+03	(4.42376691100326e+01dB,-1.48820263345358e+02°)	(6.76810324988245e+01dB,1.63250899903143e+02°)	(7.41599149284566e+01dB,1.79999999999985e+02°)
1.05925372517729e+03	(4.43664792994062e+01dB,-1.50260914768419e+02°)	(6.75842370708332e+01dB,1.63871839135110e+02°)	(7.41599149284605e+01dB,1.79999999999943e+02°)
1.12201845430196e+03	(4.44845927450594e+01dB,-1.51660288195135e+02°)	(6.74948511086229e+01dB,1.64489165352970e+02°)	(7.41599149285138e+01dB,1.79999999999978e+02°)
1.18850222743702e+03	(4.45926390373611e+01dB,-1.53016319937667e+02°)	(6.74125625811900e+01dB,1.65099329138818e+02°)	(7.41599149284936e+01dB,1.79999999999843e+02°)
1.25892541179417e+03	(4.46912545287313e+01dB,-1.54327406472928e+02°)	(6.73370255226808e+01dB,1.65699203471869e+02°)	(7.41599149285060e+01dB,1.79999999999899e+02°)
1.33352143216332e+03	(4.47810736372810e+01dB,-1.55592381965017e+02°)	(6.72678703018087e+01dB,1.66286077089700e+02°)	(7.41599149284724e+01dB,1.79999999999975e+02°)
1.41253754462275e+03	(4.48627212825315e+01dB,-1.56810489231970e+02°)	(6.72047128244112e+01dB,1.66857638838939e+02°)	(7.41599149284650e+01dB,-1.79999999999997e+02°)
1.49623565609443e+03	(4.49368065147572e+01dB,-1.57981346026818e+02°)	(6.71471625630923e+01dB,1.67411955106171e+02°)	(7.41599149284694e+01dB,1.79999999999974e+02°)
1.58489319246111e+03	(4.50039173388460e+01dB,-1.59104908369411e+02°)	(6.70948293780537e+01dB,1.67947442291886e+02°)	(7.41599149284714e+01dB,1.79999999999922e+02°)
1.67880401812256e+03	(4.50646166851796e+01dB,-1.60181432465577e+02°)	(6.70473291498275e+01dB,1.68462836087220e+02°)	(7.41599149284343e+01dB,-1.79999999999879e+02°)
1.77827941003892e+03	(4.51194394443286e+01dB,-1.61211436512506e+02°)	(6.70042882873288e+01dB,1.68957159066343e+02°)	(7.41599149284609e+01dB,1.79999999999955e+02°)
