time	V(vin)	V(vc)
3.274991364979815e-05	1.585141e-03	6.777842e+00
3.289639802479814e-05	1.191290e-03	6.852522e+00
3.318936677479814e-05	4.017587e-04	6.998856e+00
3.348233552479813e-05	-3.880681e-04	7.141151e+00
3.392178864979813e-05	-1.572656e-03	7.347031e+00
3.436124177479812e-05	-2.753320e-03	7.543880e+00
3.492625293551240e-05	-4.275359e-03	7.782781e+00
3.549126409622667e-05	-5.774826e-03	8.008175e+00
3.605627525694095e-05	-7.251720e-03	8.220062e+00
3.662128641765522e-05	-8.706040e-03	8.418443e+00
3.718629757836950e-05	-1.013779e-02	8.603316e+00
3.775130873908378e-05	-1.154696e-02	8.774683e+00
3.831631989979805e-05	-1.293356e-02	8.932543e+00
3.921615248908374e-05	-1.508039e-02	9.156857e+00
4.011598507836945e-05	-1.708574e-02	9.358464e+00
4.101581766765514e-05	-1.894960e-02	9.537364e+00
4.191565025694084e-05	-2.067197e-02	9.693558e+00
4.281548284622654e-05	-2.225286e-02	9.827045e+00
4.371531543551224e-05	-2.369227e-02	9.937825e+00
4.461514802479794e-05	-2.499019e-02	1.002590e+01
4.587072838194077e-05	-2.647447e-02	1.012485e+01
4.712630873908361e-05	-2.756633e-02	1.019624e+01
4.838188909622644e-05	-2.826578e-02	1.024008e+01
4.963746945336928e-05	-2.857281e-02	1.025636e+01
5.089304981051211e-05	-2.848743e-02	1.024509e+01
5.214863016765495e-05	-2.800963e-02	1.020626e+01
5.340421052479778e-05	-2.713941e-02	1.013988e+01
5.426219043551206e-05	-2.630212e-02	1.008075e+01
5.512017034622632e-05	-2.531210e-02	1.000356e+01
5.597815025694060e-05	-2.416935e-02	9.908331e+00
5.683613016765486e-05	-2.287386e-02	9.795052e+00
5.769411007836914e-05	-2.142564e-02	9.663724e+00
5.855208998908341e-05	-1.982469e-02	9.514349e+00
5.941006989979768e-05	-1.807100e-02	9.346925e+00
6.010063909622623e-05	-1.657391e-02	9.194464e+00
6.079120829265479e-05	-1.502385e-02	9.023386e+00
6.148177748908336e-05	-1.342081e-02	8.833691e+00
6.217234668551191e-05	-1.176481e-02	8.625379e+00
6.286291588194047e-05	-1.005583e-02	8.398449e+00
6.355348507836904e-05	-8.293876e-03	8.152902e+00
6.424405427479759e-05	-6.478953e-03	7.888738e+00
6.457887570336901e-05	-5.595200e-03	7.752008e+00
6.491369713194044e-05	-4.708146e-03	7.610177e+00
6.524851856051186e-05	-3.817791e-03	7.463245e+00
6.558333998908329e-05	-2.924135e-03	7.311213e+00
6.591816141765470e-05	-2.027178e-03	7.154079e+00
6.625298284622613e-05	-1.126920e-03	6.991845e+00
6.658780427479755e-05	-2.233604e-04	6.824509e+00
6.673428864979755e-05	1.709835e-04	6.749717e+00
6.688077302479754e-05	5.654202e-04	6.673966e+00
6.702725739979754e-05	9.595947e-04	6.597265e+00
6.732022614979754e-05	1.747407e-03	6.441039e+00
6.775967927479753e-05	2.926364e-03	6.199775e+00
6.803172168551181e-05	3.654901e-03	6.046025e+00
6.830376409622610e-05	4.379720e-03	5.889611e+00
6.857580650694037e-05	5.100819e-03	5.730533e+00
6.884784891765465e-05	5.818198e-03	5.568792e+00
6.911989132836893e-05	6.531858e-03	5.404387e+00
6.939193373908322e-05	7.241798e-03	5.237319e+00
6.966397614979750e-05	7.948019e-03	5.067587e+00
7.010342927479749e-05	9.074906e-03	4.790141e+00
7.024991364979749e-05	9.446798e-03	4.696860e+00
7.039639802479748e-05	9.816733e-03	4.603431e+00
7.054288239979748e-05	1.018423e-02	4.511596e+00
7.068936677479748e-05	1.054614e-02	4.431485e+00
7.083585114979748e-05	1.088773e-02	4.376129e+00
7.112881989979747e-05	1.154669e-02	4.323815e+00
7.142178864979746e-05	1.220420e-02	4.301457e+00
7.186124177479746e-05	1.316763e-02	4.284898e+00
7.215421052479745e-05	1.380231e-02	4.277352e+00
7.284477972122602e-05	1.527861e-02	4.267383e+00
7.353534891765457e-05	1.667864e-02	4.258940e+00
7.422591811408313e-05	1.800238e-02	4.252023e+00
7.491648731051168e-05	1.924984e-02	4.246633e+00
7.560705650694025e-05	2.042102e-02	4.242769e+00
7.629762570336882e-05	2.151592e-02	4.240432e+00
7.698819489979737e-05	2.253454e-02	4.239621e+00
7.790895382836877e-05	2.374535e-02	4.237576e+00
7.882971275694019e-05	2.477193e-02	4.235872e+00
7.975047168551160e-05	2.561428e-02	4.234509e+00
8.067123061408302e-05	2.627239e-02	4.233489e+00
8.159198954265443e-05	2.674627e-02	4.232809e+00
8.251274847122585e-05	2.703592e-02	4.232471e+00
8.343350739979725e-05	2.714134e-02	4.232475e+00
8.422870829265438e-05	2.706344e-02	4.232527e+00
8.502390918551151e-05	2.684577e-02	4.232814e+00
8.581911007836863e-05	2.648830e-02	4.233337e+00
8.661431097122577e-05	2.599106e-02	4.234095e+00
8.740951186408290e-05	2.535403e-02	4.235089e+00
8.820471275694003e-05	2.457721e-02	4.236318e+00
8.899991364979716e-05	2.366061e-02	4.237782e+00
8.950214579265429e-05	2.301564e-02	4.238814e+00
9.000437793551142e-05	2.232424e-02	4.240162e+00
9.050661007836855e-05	2.158642e-02	4.241826e+00
9.100884222122570e-05	2.080218e-02	4.243807e+00
9.151107436408283e-05	1.997151e-02	4.246105e+00
9.201330650693996e-05	1.909442e-02	4.248718e+00
9.251553864979709e-05	1.817090e-02	4.251648e+00
9.276665472122567e-05	1.769516e-02	4.253266e+00
9.301777079265423e-05	1.721006e-02	4.255279e+00
9.326888686408280e-05	1.671559e-02	4.257687e+00
9.352000293551136e-05	1.621174e-02	4.260490e+00
9.377111900693993e-05	1.569853e-02	4.263688e+00
9.402223507836849e-05	1.517594e-02	4.267281e+00
9.427335114979706e-05	1.464399e-02	4.271269e+00
9.456631989979706e-05	1.401305e-02	4.277588e+00
9.471280427479705e-05	1.369319e-02	4.281550e+00
9.485928864979705e-05	1.337038e-02	4.286315e+00
9.500577302479705e-05	1.304453e-02	4.292261e+00
9.515225739979705e-05	1.271545e-02	4.300108e+00
9.529874177479704e-05	1.238265e-02	4.311534e+00
9.544522614979704e-05	1.204467e-02	4.334492e+00
9.559171052479704e-05	1.168987e-02	4.415483e+00
9.569284196969219e-05	1.136444e-02	4.538787e+00
9.577891347813404e-05	1.110869e-02	4.654871e+00
9.583493894715838e-05	1.096439e-02	4.708101e+00
9.588850675174477e-05	1.082847e-02	4.746940e+00
9.594821729184006e-05	1.067852e-02	4.787721e+00
9.606215955884859e-05	1.039153e-02	4.863457e+00
9.620714584225125e-05	1.002601e-02	4.958426e+00
9.635363021725125e-05	9.654212e-03	5.053338e+00
9.650011459225124e-05	9.281412e-03	5.147308e+00
9.664659896725124e-05	8.906206e-03	5.240355e+00
9.679308334225124e-05	8.530089e-03	5.332488e+00
9.693956771725124e-05	8.151682e-03	5.423710e+00
9.708605209225123e-05	7.772482e-03	5.514021e+00
9.723253646725123e-05	7.391122e-03	5.603418e+00
9.737902084225123e-05	7.009096e-03	5.691895e+00
9.752550521725123e-05	6.625048e-03	5.779446e+00
9.781847396725122e-05	5.854010e-03	5.951741e+00
9.825792709225121e-05	4.689735e-03	6.203061e+00
9.855089584225121e-05	3.908778e-03	6.365782e+00
9.884386459225120e-05	3.124872e-03	6.524591e+00
9.899034896725120e-05	2.731649e-03	6.602517e+00
9.913683334225120e-05	2.338608e-03	6.679451e+00
9.928331771725119e-05	1.944430e-03	6.755391e+00
9.942980209225119e-05	1.550581e-03	6.830335e+00
9.957628646725119e-05	1.155745e-03	6.904279e+00
9.986925521725118e-05	3.661923e-04	7.049168e+00
1.003087083422512e-04	-8.181108e-04	7.258993e+00
1.007481614672512e-04	-2.001679e-03	7.459830e+00
1.012713199493940e-04	-3.413918e-03	7.686528e+00
1.017944784315369e-04	-4.809489e-03	7.901466e+00
1.023176369136797e-04	-6.188392e-03	8.104642e+00
1.028407953958226e-04	-7.550627e-03	8.296057e+00
1.033639538779654e-04	-8.896193e-03	8.475711e+00
1.038871123601083e-04	-1.022509e-02	8.643604e+00
1.044102708422511e-04	-1.153732e-02	8.799736e+00
1.052891770922511e-04	-1.369516e-02	9.035422e+00
1.061680833422511e-04	-1.572672e-02	9.248340e+00
1.070469895922511e-04	-1.763201e-02	9.438488e+00
1.079258958422510e-04	-1.941101e-02	9.605868e+00
1.088048020922510e-04	-2.106374e-02	9.750479e+00
1.096837083422510e-04	-2.259020e-02	9.872322e+00
1.105626145922510e-04	-2.399037e-02	9.971395e+00
1.118809739672510e-04	-2.576130e-02	1.009168e+01
1.131993333422509e-04	-2.710273e-02	1.018149e+01
1.145176927172509e-04	-2.801465e-02	1.024081e+01
1.158360520922509e-04	-2.849708e-02	1.026965e+01
1.171544114672509e-04	-2.855000e-02	1.026800e+01
1.184727708422509e-04	-2.817343e-02	1.023587e+01
1.197911302172508e-04	-2.736735e-02	1.017325e+01
1.206491101279652e-04	-2.658814e-02	1.011910e+01
1.215070900386795e-04	-2.565347e-02	1.004748e+01
1.223650699493938e-04	-2.456334e-02	9.958402e+00
1.232230498601081e-04	-2.331776e-02	9.851859e+00
1.240810297708224e-04	-2.191672e-02	9.727853e+00
1.249390096815368e-04	-2.036022e-02	9.586383e+00
1.257969895922511e-04	-1.864826e-02	9.427449e+00
1.265084851279654e-04	-1.713493e-02	9.278037e+00
1.272199806636797e-04	-1.556315e-02	9.109290e+00
1.279314761993941e-04	-1.393290e-02	8.921209e+00
1.286429717351084e-04	-1.224421e-02	8.713794e+00
1.293544672708228e-04	-1.049705e-02	8.487045e+00
1.300659628065371e-04	-8.691446e-03	8.240961e+00
1.307774583422514e-04	-6.827382e-03	7.975543e+00
1.311122797708229e-04	-5.946053e-03	7.841858e+00
1.314471011993944e-04	-5.061071e-03	7.703105e+00
1.317819226279658e-04	-4.172434e-03	7.559286e+00
1.321167440565372e-04	-3.280143e-03	7.410399e+00
1.324515654851087e-04	-2.384198e-03	7.256446e+00
1.327863869136802e-04	-1.484598e-03	7.097425e+00
1.331212083422516e-04	-5.813445e-04	6.933338e+00
1.332676927172516e-04	-1.869841e-04	6.859960e+00
1.334141770922516e-04	2.074781e-04	6.785624e+00
1.335606614672516e-04	6.018067e-04	6.710336e+00
1.337071458422517e-04	9.960828e-04	6.634102e+00
1.338536302172517e-04	1.390077e-03	6.556930e+00
1.341465989672517e-04	2.177219e-03	6.399801e+00
