time	V(vb)	V(vc)
3.361414201643614e-05	4.833844e+00	7.207313e+00
3.405359514143613e-05	4.832612e+00	7.416960e+00
3.449304826643613e-05	4.831384e+00	7.616993e+00
3.507898576643612e-05	4.829744e+00	7.867548e+00
3.566492326643611e-05	4.828130e+00	8.103009e+00
3.625086076643609e-05	4.826544e+00	8.323375e+00
3.683679826643608e-05	4.824984e+00	8.528648e+00
3.742273576643607e-05	4.823452e+00	8.718827e+00
3.800867326643606e-05	4.821946e+00	8.893911e+00
3.859461076643605e-05	4.820467e+00	9.053902e+00
3.947351701643604e-05	4.818318e+00	9.267427e+00
4.035242326643602e-05	4.816312e+00	9.459222e+00
4.123132951643601e-05	4.814450e+00	9.629287e+00
4.211023576643599e-05	4.812731e+00	9.777621e+00
4.298914201643598e-05	4.811156e+00	9.904225e+00
4.386804826643596e-05	4.809724e+00	1.000910e+01
4.474695451643595e-05	4.808435e+00	1.009224e+01
4.606531389143592e-05	4.806868e+00	1.019182e+01
4.738367326643590e-05	4.805752e+00	1.026118e+01
4.870203264143588e-05	4.805086e+00	1.030033e+01
5.002039201643585e-05	4.804871e+00	1.030927e+01
5.133875139143583e-05	4.805107e+00	1.028800e+01
5.265711076643581e-05	4.805793e+00	1.023651e+01
5.397547014143578e-05	4.806931e+00	1.015480e+01
5.481252371286434e-05	4.807897e+00	1.008838e+01
5.564957728429289e-05	4.809010e+00	1.000371e+01
5.648663085572146e-05	4.810269e+00	9.900776e+00
5.732368442715001e-05	4.811674e+00	9.779589e+00
5.816073799857857e-05	4.813226e+00	9.640148e+00
5.899779157000712e-05	4.814923e+00	9.482451e+00
5.983484514143568e-05	4.816767e+00	9.306499e+00
6.050448799857853e-05	4.818321e+00	9.147678e+00
6.117413085572137e-05	4.819923e+00	8.970084e+00
6.184377371286421e-05	4.821574e+00	8.773718e+00
6.251341657000706e-05	4.823272e+00	8.558578e+00
6.318305942714991e-05	4.825019e+00	8.324665e+00
6.385270228429276e-05	4.826814e+00	8.071978e+00
6.452234514143560e-05	4.828658e+00	7.800519e+00
6.496179826643560e-05	4.829869e+00	7.609345e+00
6.540125139143559e-05	4.831089e+00	7.408833e+00
6.569422014143558e-05	4.831905e+00	7.269935e+00
6.598718889143558e-05	4.832724e+00	7.126849e+00
6.628015764143557e-05	4.833543e+00	6.979578e+00
6.642664201643557e-05	4.833953e+00	6.904377e+00
6.657312639143557e-05	4.834364e+00	6.828138e+00
6.671961076643556e-05	4.834774e+00	6.750863e+00
6.686609514143556e-05	4.835185e+00	6.672558e+00
6.701257951643556e-05	4.835595e+00	6.593227e+00
6.730554826643555e-05	4.836414e+00	6.431522e+00
6.759851701643555e-05	4.837233e+00	6.265813e+00
6.803797014143554e-05	4.838456e+00	6.009932e+00
6.828908621286411e-05	4.839153e+00	5.859545e+00
6.854020228429267e-05	4.839846e+00	5.706810e+00
6.879131835572125e-05	4.840536e+00	5.551725e+00
6.904243442714981e-05	4.841222e+00	5.394291e+00
6.929355049857838e-05	4.841904e+00	5.234507e+00
6.954466657000694e-05	4.842583e+00	5.072375e+00
6.979578264143551e-05	4.843258e+00	4.907893e+00
7.008875139143551e-05	4.844038e+00	4.714560e+00
7.023523576643550e-05	4.844424e+00	4.617384e+00
7.038172014143550e-05	4.844809e+00	4.520802e+00
7.052820451643550e-05	4.845186e+00	4.432550e+00
7.067468889143550e-05	4.845548e+00	4.367571e+00
7.082117326643549e-05	4.845897e+00	4.329508e+00
7.096765764143549e-05	4.846240e+00	4.307123e+00
7.126062639143548e-05	4.846924e+00	4.282317e+00
7.170007951643548e-05	4.847929e+00	4.265059e+00
7.199304826643547e-05	4.848591e+00	4.257327e+00
7.268361746286404e-05	4.850132e+00	4.247163e+00
7.337418665929259e-05	4.851594e+00	4.238563e+00
7.406475585572115e-05	4.852976e+00	4.231527e+00
7.475532505214971e-05	4.854280e+00	4.226055e+00
7.544589424857827e-05	4.855505e+00	4.222146e+00
7.613646344500684e-05	4.856651e+00	4.219801e+00
7.682703264143539e-05	4.857718e+00	4.219020e+00
7.772686523072109e-05	4.858960e+00	4.217001e+00
7.862669782000678e-05	4.860021e+00	4.215306e+00
7.952653040929248e-05	4.860900e+00	4.213938e+00
8.042636299857818e-05	4.861597e+00	4.212895e+00
8.132619558786388e-05	4.862113e+00	4.212177e+00
8.222602817714957e-05	4.862447e+00	4.211785e+00
8.312586076643528e-05	4.862600e+00	4.211719e+00
8.394198799857812e-05	4.862559e+00	4.211707e+00
8.475811523072097e-05	4.862367e+00	4.211926e+00
8.557424246286381e-05	4.862021e+00	4.212376e+00
8.639036969500664e-05	4.861524e+00	4.213057e+00
8.720649692714949e-05	4.860874e+00	4.213968e+00
8.802262415929233e-05	4.860072e+00	4.215110e+00
8.883875139143518e-05	4.859117e+00	4.216482e+00
8.936190987357803e-05	4.858431e+00	4.217464e+00
8.988506835572087e-05	4.857694e+00	4.218759e+00
9.040822683786372e-05	4.856904e+00	4.220365e+00
9.093138532000656e-05	4.856062e+00	4.222284e+00
9.145454380214941e-05	4.855169e+00	4.224514e+00
9.197770228429226e-05	4.854223e+00	4.227056e+00
9.250086076643511e-05	4.853225e+00	4.229911e+00
9.277290317714939e-05	4.852690e+00	4.231529e+00
9.304494558786368e-05	4.852144e+00	4.233583e+00
9.331698799857796e-05	4.851586e+00	4.236074e+00
9.358903040929223e-05	4.851017e+00	4.239001e+00
9.386107282000651e-05	4.850437e+00	4.242364e+00
9.413311523072080e-05	4.849846e+00	4.246164e+00
9.440515764143508e-05	4.849244e+00	4.250400e+00
9.469812639143507e-05	4.848584e+00	4.256684e+00
9.484461076643507e-05	4.848250e+00	4.260624e+00
9.499109514143507e-05	4.847913e+00	4.265361e+00
9.513757951643506e-05	4.847573e+00	4.271267e+00
9.528406389143506e-05	4.847229e+00	4.279056e+00
9.543054826643506e-05	4.846881e+00	4.290379e+00
9.557703264143506e-05	4.846526e+00	4.313055e+00
9.572351701643505e-05	4.846135e+00	4.395234e+00
9.582315280019132e-05	4.845829e+00	4.522490e+00
9.590368270701075e-05	4.845576e+00	4.638883e+00
9.595903082556451e-05	4.845418e+00	4.695865e+00
9.600852122542383e-05	4.845286e+00	4.734295e+00
9.606497326975873e-05	4.845137e+00	4.774917e+00
9.616093614803805e-05	4.844884e+00	4.841655e+00
9.628076544140495e-05	4.844568e+00	4.923515e+00
9.642724981640495e-05	4.844181e+00	5.022403e+00
9.657373419140495e-05	4.843791e+00	5.120265e+00
9.672021856640495e-05	4.843400e+00	5.217091e+00
9.686670294140494e-05	4.843008e+00	5.312898e+00
9.701318731640494e-05	4.842614e+00	5.407695e+00
9.730615606640494e-05	4.841821e+00	5.594263e+00
9.759912481640493e-05	4.841022e+00	5.776780e+00
9.789209356640493e-05	4.840219e+00	5.955203e+00
9.833154669140492e-05	4.839005e+00	6.215062e+00
9.862451544140491e-05	4.838192e+00	6.383052e+00
9.891748419140491e-05	4.837376e+00	6.546801e+00
9.906396856640491e-05	4.836967e+00	6.627076e+00
9.921045294140490e-05	4.836557e+00	6.706281e+00
9.935693731640490e-05	4.836147e+00	6.784414e+00
9.950342169140490e-05	4.835736e+00	6.861473e+00
9.979639044140489e-05	4.834915e+00	7.012370e+00
1.000893591914049e-04	4.834093e+00	7.158971e+00
1.005288123164049e-04	4.832861e+00	7.370845e+00
1.009682654414049e-04	4.831631e+00	7.573149e+00
1.015123502628334e-04	4.830106e+00	7.809455e+00
1.020564350842620e-04	4.828601e+00	8.032575e+00
1.026005199056906e-04	4.827117e+00	8.242511e+00
1.031446047271191e-04	4.825654e+00	8.439261e+00
1.036886895485477e-04	4.824212e+00	8.622826e+00
1.042327743699763e-04	4.822790e+00	8.793205e+00
1.047768591914048e-04	4.821390e+00	8.950399e+00
1.056348391021191e-04	4.819237e+00	9.172362e+00
1.064928190128334e-04	4.817213e+00	9.372680e+00
1.073507989235476e-04	4.815319e+00	9.551353e+00
1.082087788342619e-04	4.813554e+00	9.708382e+00
1.090667587449762e-04	4.811918e+00	9.843765e+00
1.099247386556904e-04	4.810412e+00	9.957503e+00
1.107827185664047e-04	4.809034e+00	1.004960e+01
1.121638569592618e-04	4.807189e+00	1.016843e+01
1.135449953521189e-04	4.805835e+00	1.025414e+01
1.149261337449761e-04	4.804974e+00	1.030672e+01
1.163072721378332e-04	4.804605e+00	1.032618e+01
1.176884105306903e-04	4.804728e+00	1.031252e+01
1.190695489235474e-04	4.805343e+00	1.026573e+01
1.204506873164045e-04	4.806451e+00	1.018582e+01
1.212877408878331e-04	4.807378e+00	1.012314e+01
1.221247944592618e-04	4.808453e+00	1.004269e+01
1.229618480306904e-04	4.809676e+00	9.944479e+00
1.237989016021190e-04	4.811048e+00	9.828498e+00
1.246359551735476e-04	4.812568e+00	9.694750e+00
1.254730087449762e-04	4.814237e+00	9.543235e+00
1.263100623164048e-04	4.816053e+00	9.373954e+00
1.270006315128334e-04	4.817638e+00	9.216142e+00
1.276912007092620e-04	4.819275e+00	9.038691e+00
1.283817699056907e-04	4.820964e+00	8.841599e+00
1.290723391021193e-04	4.822706e+00	8.624867e+00
1.297629082985479e-04	4.824500e+00	8.388495e+00
1.304534774949765e-04	4.826347e+00	8.132483e+00
1.311440466914052e-04	4.828247e+00	7.856831e+00
1.314370154414052e-04	4.829055e+00	7.732114e+00
1.317299841914052e-04	4.829865e+00	7.603250e+00
1.320229529414052e-04	4.830677e+00	7.470240e+00
1.323159216914053e-04	4.831492e+00	7.333082e+00
1.326088904414053e-04	4.832309e+00	7.191778e+00
1.329018591914053e-04	4.833129e+00	7.046327e+00
1.331948279414053e-04	4.833951e+00	6.896729e+00
1.333413123164053e-04	4.834362e+00	6.820376e+00
1.334877966914053e-04	4.834772e+00	6.742998e+00
1.336342810664054e-04	4.835182e+00	6.664598e+00
1.337807654414054e-04	4.835592e+00	6.585184e+00
1.340737341914054e-04	4.836411e+00	6.423341e+00
1.343667029414054e-04	4.837229e+00	6.257540e+00
1.348061560664054e-04	4.838451e+00	6.001613e+00
1.350572721378340e-04	4.839147e+00	5.851248e+00
1.353083882092626e-04	4.839839e+00	5.698584e+00
1.355595042806912e-04	4.840528e+00	5.543621e+00
1.358106203521198e-04	4.841212e+00	5.386359e+00
1.360617364235484e-04	4.841893e+00	5.226799e+00
1.363128524949770e-04	4.842570e+00	5.064939e+00
1.365639685664056e-04	4.843243e+00	4.900781e+00
1.368569373164056e-04	4.844020e+00	4.707914e+00
1.370034216914056e-04	4.844406e+00	4.611014e+00
1.371499060664056e-04	4.844789e+00	4.514887e+00
1.372963904414056e-04	4.845163e+00	4.427766e+00
1.374428748164056e-04	4.845524e+00	4.364526e+00
1.375893591914057e-04	4.845870e+00	4.327911e+00
1.377358435664057e-04	4.846212e+00	4.306373e+00
1.380288123164057e-04	4.846893e+00	4.282186e+00
1.384682654414057e-04	4.847894e+00	4.264933e+00
1.387612341914057e-04	4.848553e+00	4.257217e+00
1.394518033878344e-04	4.850085e+00	4.247103e+00
1.401423725842630e-04	4.851537e+00	4.238545e+00
1.408329417806916e-04	4.852909e+00	4.231543e+00
1.415235109771202e-04	4.854202e+00	4.226097e+00
1.422140801735489e-04	4.855415e+00	4.222208e+00
1.429046493699775e-04	4.856549e+00	4.219874e+00
1.435952185664061e-04	4.857603e+00	4.219096e+00
1.439928190128347e-04	4.858160e+00	4.218096e+00
1.443904194592633e-04	4.858684e+00	4.217182e+00
1.447880199056919e-04	4.859174e+00	4.216356e+00
1.451856203521205e-04	4.859630e+00	4.215617e+00
1.455832207985491e-04	4.860053e+00	4.214965e+00
1.459808212449777e-04	4.860442e+00	4.214400e+00
1.463784216914063e-04	4.860797e+00	4.213922e+00
1.465249060664063e-04	4.860918e+00	4.213755e+00
1.469852855306921e-04	4.861269e+00	4.213291e+00
1.474456649949778e-04	4.861570e+00	4.212894e+00
1.479060444592636e-04	4.861822e+00	4.212565e+00
1.483664239235493e-04	4.862025e+00	4.212303e+00
1.488268033878351e-04	4.862179e+00	4.212108e+00
1.492871828521208e-04	4.862283e+00	4.211980e+00
1.497475623164066e-04	4.862338e+00	4.211920e+00
1.498940466914066e-04	4.862345e+00	4.211911e+00
1.500000000000000e-04	4.862348e+00	4.211907e+00
