Freq.	V(vout)/V(vin)	V(vin)/Ix(x1:VIN)
1.49623565609443e+02	(5.93560088956174e+01dB,3.93855249201165e+00°)	(8.57172664222764e+01dB,-3.26144015584199e+00°)
1.58489319246111e+02	(5.93575293632870e+01dB,3.71118219310972e+00°)	(8.57158401818819e+01dB,-3.09242339148459e+00°)
1.67880401812256e+02	(5.93588847247652e+01dB,3.49604120047326e+00°)	(8.57145676736086e+01dB,-2.93358627469900e+00°)
1.77827941003892e+02	(5.93600928348792e+01dB,3.29242776180262e+00°)	(8.57134321403670e+01dB,-2.78441346906706e+00°)
1.88364908948980e+02	(5.93611696225309e+01dB,3.09967654082900e+00°)	(8.57124186163094e+01dB,-2.64441991058434e+00°)
1.99526231496888e+02	(5.93621292945782e+01dB,2.91715669482516e+00°)	(8.57115137336639e+01dB,-2.51314947697441e+00°)
2.11348903983665e+02	(5.93629845207878e+01dB,2.74427002146036e+00°)	(8.57107055496233e+01dB,-2.39017370949521e+00°)
2.23872113856834e+02	(5.93637465974728e+01dB,2.58044917705662e+00°)	(8.57099833912946e+01dB,-2.27509058964196e+00°)
2.37137370566166e+02	(5.93644255962847e+01dB,2.42515596487146e+00°)	(8.57093377167791e+01dB,-2.16752337254441e+00°)
2.51188643150958e+02	(5.93650304948291e+01dB,2.27787969392241e+00°)	(8.57087599907112e+01dB,-2.06711947792046e+00°)
2.66072505979881e+02	(5.93655692937461e+01dB,2.13813560637629e+00°)	(8.57082425727337e+01dB,-1.97354943904107e+00°)
2.81838293126446e+02	(5.93660491219136e+01dB,2.00546337185824e+00°)	(8.57077786174548e+01dB,-1.88650590971443e+00°)
2.98538261891796e+02	(5.93664763304639e+01dB,1.87942564682326e+00°)	(8.57073619847122e+01dB,-1.80570272884152e+00°)
3.16227766016838e+02	(5.93668565747301e+01dB,1.75960669685503e+00°)	(8.57069871589557e+01dB,-1.73087404190811e+00°)
3.34965439157828e+02	(5.93671948906297e+01dB,1.64561107891450e+00°)	(8.57066491767499e+01dB,-1.66177347862778e+00°)
3.54813389233576e+02	(5.93674957585953e+01dB,1.53706238174227e+00°)	(8.57063435614513e+01dB,-1.59817338562142e+00°)
3.75837404288444e+02	(5.93677631648653e+01dB,1.43360202081473e+00°)	(8.57060662642418e+01dB,-1.53986411323720e+00°)
3.98107170553497e+02	(5.93680006525257e+01dB,1.33488808607918e+00°)	(8.57058136107482e+01dB,-1.48665335514265e+00°)
4.21696503428582e+02	(5.93682113687568e+01dB,1.24059423901090e+00°)	(8.57055822525729e+01dB,-1.43836553970909e+00°)
4.46683592150963e+02	(5.93683981060755e+01dB,1.15040865650524e+00°)	(8.57053691230646e+01dB,-1.39484127196332e+00°)
4.73151258961481e+02	(5.93685633407524e+01dB,1.06403301886748e+00°)	(8.57051713968168e+01dB,-1.35593682494285e+00°)
5.01187233627272e+02	(5.93687092622422e+01dB,9.81181539389153e-01°)	(8.57049864523218e+01dB,-1.32152367929761e+00°)
5.30884444230988e+02	(5.93688378052783e+01dB,9.01580032166722e-01°)	(8.57048118372943e+01dB,-1.29148811031754e+00°)
5.62341325190349e+02	(5.93689506749639e+01dB,8.24965016324379e-01°)	(8.57046452362181e+01dB,-1.26573082116086e+00°)
5.95662143529011e+02	(5.93690493678999e+01dB,7.51082853674297e-01°)	(8.57044844397263e+01dB,-1.24416662139889e+00°)
6.30957344480193e+02	(5.93691351918469e+01dB,6.79688917323717e-01°)	(8.57043273153397e+01dB,-1.22672415014109e+00°)
6.68343917568615e+02	(5.93692092863522e+01dB,6.10546788415216e-01°)	(8.57041717792268e+01dB,-1.21334564310898e+00°)
7.07945784384138e+02	(5.93692726330947e+01dB,5.43427479516957e-01°)	(8.57040157686329e+01dB,-1.20398674247260e+00°)
7.49894209332456e+02	(5.93693260727456e+01dB,4.78108681062376e-01°)	(8.57038572145458e+01dB,-1.19861634959995e+00°)
7.94328234724282e+02	(5.93693703142720e+01dB,4.14374029504416e-01°)	(8.57036940143143e+01dB,-1.19721651958389e+00°)
8.41395141645195e+02	(5.93694059440224e+01dB,3.52012394478833e-01°)	(8.57035240038176e+01dB,-1.19978239738990e+00°)
8.91250938133746e+02	(5.93694334347341e+01dB,2.90817182537790e-01°)	(8.57033449288187e+01dB,-1.20632219549853e+00°)
9.44060876285924e+02	(5.93694531508726e+01dB,2.30585655825501e-01°)	(8.57031544151410e+01dB,-1.21685721224977e+00°)
1.00000000000000e+03	(5.93694653548139e+01dB,1.71118262937156e-01°)	(8.57029499372799e+01dB,-1.23142189131169e+00°)
1.05925372517729e+03	(5.93694702074604e+01dB,1.12217980438043e-01°)	(8.57027287850246e+01dB,-1.25006392142894e+00°)
1.12201845430196e+03	(5.93694677735737e+01dB,5.36896622003412e-02°)	(8.57024880276445e+01dB,-1.27284437719262e+00°)
1.18850222743702e+03	(5.93694580211299e+01dB,-4.66060483243846e-03°)	(8.57022244752200e+01dB,-1.29983790003484e+00°)
1.25892541179417e+03	(5.93694408202838e+01dB,-6.30261406849128e-02°)	(8.57019346365696e+01dB,-1.33113291969071e+00°)
1.33352143216332e+03	(5.93694159433217e+01dB,-1.21600310741145e-01°)	(8.57016146732252e+01dB,-1.36683191642370e+00°)
1.41253754462276e+03	(5.93693830601151e+01dB,-1.80577163780719e-01°)	(8.57012603489101e+01dB,-1.40705172334598e+00°)
1.49623565609443e+03	(5.93693417345253e+01dB,-2.40152072097643e-01°)	(8.57008669738341e+01dB,-1.45192386909771e+00°)
1.58489319246111e+03	(5.93692914182760e+01dB,-3.00522375814026e-01°)	(8.57004293430800e+01dB,-1.50159496083291e+00°)
1.67880401812256e+03	(5.93692314442000e+01dB,-3.61888033122801e-01°)	(8.56999416683345e+01dB,-1.55622710688830e+00°)
1.77827941003892e+03	(5.93691610170755e+01dB,-4.24452278827246e-01°)	(8.56993975020776e+01dB,-1.61599837881152e+00°)
1.88364908948980e+03	(5.93690792025950e+01dB,-4.88422292805547e-01°)	(8.56987896532889e+01dB,-1.68110331207714e+00°)
1.99526231496888e+03	(5.93689849157165e+01dB,-5.54009880983411e-01°)	(8.56981100935974e+01dB,-1.75175344450435e+00°)
2.11348903983665e+03	(5.93688769066979e+01dB,-6.21432170669452e-01°)	(8.56973498527249e+01dB,-1.82817789129625e+00°)
2.23872113856834e+03	(5.93687537428213e+01dB,-6.90912321866939e-01°)	(8.56964989019675e+01dB,-1.91062395412350e+00°)
2.37137370566166e+03	(5.93686137916604e+01dB,-7.62680257809382e-01°)	(8.56955460242359e+01dB,-1.99935776305589e+00°)
2.51188643150958e+03	(5.93684551974980e+01dB,-8.36973415639025e-01°)	(8.56944786691740e+01dB,-2.09466494713983e+00°)
2.66072505979881e+03	(5.93682758578574e+01dB,-9.14037520127692e-01°)	(8.56932827915608e+01dB,-2.19685133061611e+00°)
2.81838293126446e+03	(5.93680733965935e+01dB,-9.94127382674191e-01°)	(8.56919426711685e+01dB,-2.30624364961729e+00°)
