Freq.	V(vout)/V(vin)	V(vin)/Ix(x1:VIN)
1.49623565609444e+06	(3.84089416036753e+01dB,-8.82529951473498e+01°)	(7.56443557992253e+01dB,-3.35550726081649e+01°)
1.58489319246112e+06	(3.79126371751387e+01dB,-8.87397610410789e+01°)	(7.55007401308453e+01dB,-3.47991259612781e+01°)
1.67880401812256e+06	(3.74159124095215e+01dB,-8.92226391589310e+01°)	(7.53455874669494e+01dB,-3.60853998976514e+01°)
1.77827941003893e+06	(3.69188098611259e+01dB,-8.97031786460161e+01°)	(7.51783166080713e+01dB,-3.74096755541966e+01°)
1.88364908948980e+06	(3.64213672579164e+01dB,-9.01829278567416e+01°)	(7.49984002350002e+01dB,-3.87672991439283e+01°)
1.99526231496888e+06	(3.59236179642597e+01dB,-9.06634381956727e+01°)	(7.48053753705320e+01dB,-4.01532161434613e+01°)
2.11348903983665e+06	(3.54255913946108e+01dB,-9.11462681248608e+01°)	(7.45988531295215e+01dB,-4.15620189739483e+01°)
2.23872113856834e+06	(3.49273133789671e+01dB,-9.16329873462372e+01°)	(7.43785272885928e+01dB,-4.29880073659330e+01°)
2.37137370566166e+06	(3.44288064884962e+01dB,-9.21251810809510e+01°)	(7.41441812502589e+01dB,-4.44252597037602e+01°)
2.51188643150958e+06	(3.39300903186650e+01dB,-9.26244545225221e+01°)	(7.38956930034039e+01dB,-4.58677131176820e+01°)
2.66072505979881e+06	(3.34311817394798e+01dB,-9.31324373642452e+01°)	(7.36330378273057e+01dB,-4.73092492082809e+01°)
2.81838293126446e+06	(3.29320951093980e+01dB,-9.36507884720203e+01°)	(7.33562885583010e+01dB,-4.87437821159600e+01°)
2.98538261891796e+06	(3.24328424600432e+01dB,-9.41812006372495e+01°)	(7.30656134106684e+01dB,-5.01653453031694e+01°)
3.16227766016838e+06	(3.19334336505710e+01dB,-9.47254054444335e+01°)	(7.27612714581538e+01dB,-5.15681736020895e+01°)
3.34965439157828e+06	(3.14338764962614e+01dB,-9.52851782221346e+01°)	(7.24436060232122e+01dB,-5.29467773727073e+01°)
3.54813389233576e+06	(3.09341768698490e+01dB,-9.58623430868085e+01°)	(7.21130363141127e+01dB,-5.42960061984797e+01°)
3.75837404288445e+06	(3.04343387797405e+01dB,-9.64587780683771e+01°)	(7.17700477332982e+01dB,-5.56111002506036e+01°)
3.98107170553498e+06	(2.99343644241192e+01dB,-9.70764202956872e+01°)	(7.14151813168852e+01dB,-5.68877282068833e+01°)
4.21696503428583e+06	(2.94342542229941e+01dB,-9.77172712464652e+01°)	(7.10490227675532e+01dB,-5.81220114410153e+01°)
4.46683592150964e+06	(2.89340068277291e+01dB,-9.83834020409502e+01°)	(7.06721915181776e+01dB,-5.93105348886214e+01°)
4.73151258961481e+06	(2.84336191090227e+01dB,-9.90769587498432e+01°)	(7.02853302107406e+01dB,-6.04503456130083e+01°)
5.01187233627273e+06	(2.79330861235114e+01dB,-9.98001677032514e+01°)	(6.98890949128755e+01dB,-6.15389405195733e+01°)
5.30884444230989e+06	(2.74324010589162e+01dB,-1.00555340742418e+02°)	(6.94841463070573e+01dB,-6.25742450162114e+01°)
5.62341325190350e+06	(2.69315551566973e+01dB,-1.01344880423398e+02°)	(6.90711420139024e+01dB,-6.35545845050782e+01°)
5.95662143529011e+06	(2.64305376135139e+01dB,-1.02171285056364e+02°)	(6.86507301406641e+01dB,-6.44786506370169e+01°)
6.30957344480194e+06	(2.59293354591566e+01dB,-1.03037153580205e+02°)	(6.82235440763827e+01dB,-6.53454641283496e+01°)
6.68343917568616e+06	(2.54279334123212e+01dB,-1.03945190140618e+02°)	(6.77901985056560e+01dB,-6.61543358032362e+01°)
7.07945784384139e+06	(2.49263137124721e+01dB,-1.04898208316712e+02°)	(6.73512865728472e+01dB,-6.69048272619903e+01°)
7.49894209332457e+06	(2.44244559262193e+01dB,-1.05899134911054e+02°)	(6.69073780912249e+01dB,-6.75967123677846e+01°)
7.94328234724283e+06	(2.39223367316550e+01dB,-1.06951013065964e+02°)	(6.64590187037158e+01dB,-6.82299404736486e+01°)
8.41395141645196e+06	(2.34199296750105e+01dB,-1.08057004700071e+02°)	(6.60067298466004e+01dB,-6.88046021147100e+01°)
8.91250938133747e+06	(2.29172049040253e+01dB,-1.09220391966318e+02°)	(6.55510094176703e+01dB,-6.93208976551693e+01°)
9.44060876285925e+06	(2.24141288763899e+01dB,-1.10444577572283e+02°)	(6.50923330185962e+01dB,-6.97791092473186e+01°)
1.00000000000000e+07	(2.19106640435725e+01dB,-1.11733083733452e+02°)	(6.46311556674107e+01dB,-7.01795762823291e+01°)
