x-axis,1,2,4
second,Volt,Volt,Volt
-250.0000E-06,-465.0125559E-03,-207.6381929E-03,-15.7814063E-03
-249.7500E-06,-480.0879327E-03,-213.6683436E-03,-15.7814063E-03
-249.5000E-06,-475.0628071E-03,-207.6381929E-03,-15.7814063E-03
-249.2500E-06,-480.0879327E-03,-213.6683436E-03,-15.7814063E-03
-249.0000E-06,-465.0125559E-03,-207.6381929E-03,-14.1733661E-03
-248.7500E-06,-465.0125559E-03,-207.6381929E-03,-16.1834164E-03
-248.5000E-06,-485.1130582E-03,-211.6582934E-03,-16.5854264E-03
-248.2500E-06,-485.1130582E-03,-207.6381929E-03,-15.7814063E-03
-248.0000E-06,-485.1130582E-03,-215.6783938E-03,-15.7814063E-03
-247.7500E-06,-485.1130582E-03,-215.6783938E-03,-15.7814063E-03
-247.5000E-06,-475.0628071E-03,-215.6783938E-03,-16.5854264E-03
-247.2500E-06,-470.0376815E-03,-209.6482432E-03,-15.7814063E-03
-247.0000E-06,-465.0125559E-03,-207.6381929E-03,-15.7814063E-03
-246.7500E-06,-485.1130582E-03,-213.6683436E-03,-16.9874365E-03
-246.5000E-06,-485.1130582E-03,-207.6381929E-03,-14.9773862E-03
-246.2500E-06,-449.9371792E-03,-217.6884441E-03,-15.7814063E-03
-246.0000E-06,-485.1130582E-03,-215.6783938E-03,-14.1733661E-03
-245.7500E-06,-480.0879327E-03,-215.6783938E-03,-15.7814063E-03
-245.5000E-06,-485.1130582E-03,-211.6582934E-03,-16.5854264E-03
-245.2500E-06,-480.0879327E-03,-207.6381929E-03,-15.7814063E-03
-245.0000E-06,-444.9120536E-03,-207.6381929E-03,-15.7814063E-03
-244.7500E-06,-465.0125559E-03,-215.6783938E-03,-14.1733661E-03
-244.5000E-06,-485.1130582E-03,-207.6381929E-03,-14.1733661E-03
-244.2500E-06,-465.0125559E-03,-213.6683436E-03,-14.1733661E-03
-244.0000E-06,-465.0125559E-03,-207.6381929E-03,-14.1733661E-03
-243.7500E-06,-454.9623048E-03,-215.6783938E-03,-15.7814063E-03
-243.5000E-06,-465.0125559E-03,-207.6381929E-03,-14.9773862E-03
-243.2500E-06,-465.0125559E-03,-209.6482432E-03,-15.7814063E-03
-243.0000E-06,-465.0125559E-03,-207.6381929E-03,-17.3894465E-03
-242.7500E-06,-485.1130582E-03,-207.6381929E-03,-15.7814063E-03
-242.5000E-06,-475.0628071E-03,-211.6582934E-03,-15.7814063E-03
-242.2500E-06,-475.0628071E-03,-207.6381929E-03,-15.7814063E-03
-242.0000E-06,-465.0125559E-03,-207.6381929E-03,-17.3894465E-03
-241.7500E-06,-465.0125559E-03,-207.6381929E-03,-17.3894465E-03
-241.5000E-06,-454.9623048E-03,-203.6180925E-03,-15.7814063E-03
-241.2500E-06,-470.0376815E-03,-207.6381929E-03,-15.7814063E-03
