x-axis,2,3,4
second,Volt,Volt,Volt
-332.00000E-06,-78.18261522E-03,-17.35809712E-03,-4.69820688E-03
-331.91406E-06,-80.12185687E-03,-17.65446532E-03,-4.85181583E-03
-331.82813E-06,-82.71550691E-03,-17.85147308E-03,-4.95631560E-03
-331.74219E-06,-85.33999295E-03,-18.06161470E-03,-4.94889212E-03
-331.65625E-06,-88.12208520E-03,-18.39452927E-03,-4.87180213E-03
-331.57031E-06,-91.31532408E-03,-18.62351510E-03,-4.74560295E-03
-331.48438E-06,-94.19335055E-03,-18.83137257E-03,-4.81755361E-03
-331.39844E-06,-97.15360634E-03,-18.99640226E-03,-4.93176101E-03
-331.31250E-06,-100.23377990E-03,-19.24137714E-03,-5.02769523E-03
-331.22656E-06,-103.10495393E-03,-19.45551601E-03,-5.03055041E-03
-331.14063E-06,-105.45534221E-03,-19.72161925E-03,-4.88950427E-03
-331.05469E-06,-107.58645228E-03,-19.86152331E-03,-4.80327769E-03
-330.96875E-06,-109.75182457E-03,-20.12591344E-03,-4.90378020E-03
-330.88281E-06,-112.73263770E-03,-20.45882801E-03,-5.01056412E-03
-330.79688E-06,-115.84707348E-03,-20.72321814E-03,-4.96602323E-03
-330.71094E-06,-118.98206659E-03,-20.96647990E-03,-4.92662168E-03
-330.62500E-06,-121.79156862E-03,-21.20688648E-03,-4.86209450E-03
-330.53906E-06,-124.44003821E-03,-21.50953609E-03,-4.93118997E-03
-330.45313E-06,-126.99599981E-03,-21.72196185E-03,-5.00199856E-03
-330.36719E-06,-129.43889608E-03,-21.97835746E-03,-5.08879618E-03
-330.28125E-06,-131.74131725E-03,-22.19877774E-03,-5.01113515E-03
-330.19531E-06,-133.86557488E-03,-22.41177454E-03,-4.93061894E-03
-330.10938E-06,-135.74657075E-03,-22.62248719E-03,-4.91063264E-03
-330.02344E-06,-137.99417237E-03,-22.82977362E-03,-5.01399034E-03
-329.93750E-06,-141.00924772E-03,-23.10101620E-03,-5.05796019E-03
-329.85156E-06,-144.36009282E-03,-23.34142277E-03,-5.10078796E-03
-329.76563E-06,-146.95716908E-03,-23.61609157E-03,-5.02940834E-03
-329.67969E-06,-149.28357381E-03,-23.85649815E-03,-4.98772264E-03
-329.59375E-06,-151.67507675E-03,-24.14487183E-03,-4.97972812E-03
-329.50781E-06,-154.08713702E-03,-24.37214455E-03,-5.08765411E-03
-329.42188E-06,-156.63624618E-03,-24.59884624E-03,-5.03283456E-03
-329.33594E-06,-159.40120732E-03,-24.80099334E-03,-5.07908856E-03
-329.25000E-06,-162.14561113E-03,-25.07623317E-03,-5.00485375E-03
-329.16406E-06,-164.99622782E-03,-25.28808790E-03,-5.06595471E-03
-329.07813E-06,-167.89823784E-03,-25.44569411E-03,-5.03511871E-03
-328.99219E-06,-170.82765763E-03,-25.66497232E-03,-5.05053671E-03
-328.90625E-06,-173.60289744E-03,-25.84599104E-03,-5.07509130E-03
-328.82031E-06,-176.56315323E-03,-26.06241407E-03,-5.04653945E-03
-328.73438E-06,-178.93067262E-03,-26.22801479E-03,-5.02084278E-03
-328.64844E-06,-181.45237200E-03,-26.43016189E-03,-5.06595471E-03
-328.56250E-06,-184.10084159E-03,-26.63801936E-03,-5.03911597E-03
-328.47656E-06,-186.84867162E-03,-26.91668541E-03,-5.03568974E-03
-328.39063E-06,-189.47315766E-03,-27.08742548E-03,-4.99971441E-03
-328.30469E-06,-192.00856193E-03,-27.25245517E-03,-4.98886471E-03
-328.21875E-06,-194.67073641E-03,-27.48943552E-03,-5.04996567E-03
-328.13281E-06,-197.16502601E-03,-27.81092935E-03,-4.98087019E-03
-328.04688E-06,-199.22075920E-03,-28.00565297E-03,-4.97401775E-03
-327.96094E-06,-201.99257278E-03,-28.23064154E-03,-4.98429641E-03
-327.87500E-06,-204.69928815E-03,-28.47904264E-03,-5.05738915E-03
-327.78906E-06,-207.78288793E-03,-28.73315410E-03,-5.00713789E-03
-327.70313E-06,-210.23948910E-03,-28.88562098E-03,-5.02826626E-03
-327.61719E-06,-212.60700849E-03,-29.06721074E-03,-5.06081537E-03
-327.53125E-06,-215.55013317E-03,-29.41611435E-03,-4.97002049E-03
-327.44531E-06,-218.54122496E-03,-29.61711937E-03,-4.96602323E-03
-327.35938E-06,-221.59056252E-03,-29.83411343E-03,-5.12420048E-03
-327.27344E-06,-224.95511251E-03,-30.00770868E-03,-5.16531514E-03
-327.18750E-06,-227.68238521E-03,-30.27552503E-03,-5.11449285E-03
-327.10156E-06,-229.72098729E-03,-30.48452457E-03,-4.98315434E-03
-327.01563E-06,-232.01655602E-03,-30.68610063E-03,-4.99057782E-03
-326.92969E-06,-234.46630473E-03,-30.92250995E-03,-5.02769523E-03
-326.84375E-06,-237.10792188E-03,-31.14007504E-03,-5.09393552E-03
-326.75781E-06,-239.68444081E-03,-31.38390784E-03,-5.02940834E-03
-326.67188E-06,-241.88064910E-03,-31.59119427E-03,-5.04254219E-03
-326.58594E-06,-244.06315251E-03,-31.76136330E-03,-5.02769523E-03
-326.50000E-06,-246.53345856E-03,-32.01604580E-03,-5.02940834E-03
-326.41406E-06,-249.23332148E-03,-32.20905630E-03,-5.08936722E-03
-326.32813E-06,-251.73788975E-03,-32.39350125E-03,-5.15560751E-03
-326.24219E-06,-254.42404778E-03,-32.59736146E-03,-5.09964589E-03
-326.15625E-06,-257.43227068E-03,-32.86860403E-03,-5.04939463E-03
-326.07031E-06,-259.83747851E-03,-33.10444231E-03,-5.01798760E-03
-325.98438E-06,-262.39686634E-03,-33.31344185E-03,-5.05053671E-03
-325.89844E-06,-265.05561459E-03,-33.55270636E-03,-5.14361574E-03
-325.81250E-06,-267.83085440E-03,-33.74457479E-03,-5.13619226E-03
-325.72656E-06,-270.41079955E-03,-34.00097040E-03,-5.07680441E-03
-325.64063E-06,-273.00787582E-03,-34.12545646E-03,-5.02769523E-03
-325.55469E-06,-275.83793517E-03,-34.37100237E-03,-5.07965959E-03
-325.46875E-06,-278.76735497E-03,-34.56172873E-03,-5.16759929E-03
-325.38281E-06,-281.54259477E-03,-34.80213531E-03,-5.10478522E-03
-325.29688E-06,-283.98206482E-03,-34.97801470E-03,-5.07223611E-03
-325.21094E-06,-286.34615799E-03,-35.23041305E-03,-5.03112145E-03
-325.12500E-06,-288.30938319E-03,-35.41600008E-03,-5.07052300E-03
-325.03906E-06,-290.09101862E-03,-35.57874562E-03,-5.13676329E-03
-324.95313E-06,-291.88978516E-03,-35.79402657E-03,-5.15389440E-03
-324.86719E-06,-293.58919126E-03,-36.09953136E-03,-5.05796019E-03
-324.78125E-06,-295.52158046E-03,-36.30910194E-03,-5.05853122E-03
-324.69531E-06,-297.41970744E-03,-36.41759897E-03,-5.14076055E-03
-324.60938E-06,-299.97909526E-03,-36.62431436E-03,-5.14361574E-03
-324.52344E-06,-303.18946526E-03,-36.88927553E-03,-5.10307211E-03
-324.43750E-06,-306.54373658E-03,-37.09998818E-03,-5.14589988E-03
-324.35156E-06,-309.81577857E-03,-37.31584017E-03,-5.10706937E-03
-324.26563E-06,-312.67324771E-03,-37.55567571E-03,-5.08936722E-03
-324.17969E-06,-315.16753731E-03,-37.81892376E-03,-5.04082908E-03
-324.09375E-06,-317.41513893E-03,-38.00222664E-03,-5.10421418E-03
-324.00781E-06,-319.57365878E-03,-38.17582188E-03,-5.07566233E-03
-323.92188E-06,-321.83153907E-03,-38.42193883E-03,-5.11734803E-03
-323.83594E-06,-324.24017312E-03,-38.55955875E-03,-5.10935352E-03
-323.75000E-06,-326.58028273E-03,-38.81195710E-03,-5.02883730E-03
-323.66406E-06,-328.87927768E-03,-39.05750301E-03,-5.11277974E-03
-323.57813E-06,-331.69905838E-03,-39.16314485E-03,-5.20871395E-03
-323.49219E-06,-334.71413372E-03,-39.29448336E-03,-5.16531514E-03
-323.40625E-06,-337.37288198E-03,-39.42867706E-03,-5.14133159E-03
-323.32031E-06,-340.00764668E-03,-39.61369304E-03,-5.04539737E-03
-323.23438E-06,-342.16274031E-03,-39.95346006E-03,-5.11449285E-03
-323.14844E-06,-344.56109570E-03,-40.14647056E-03,-5.16303099E-03
-323.06250E-06,-346.32902624E-03,-40.28409048E-03,-5.24411825E-03
-322.97656E-06,-348.23743188E-03,-40.49251898E-03,-5.16360203E-03
-322.89063E-06,-349.67987134E-03,-40.70208956E-03,-5.05396293E-03
-322.80469E-06,-351.37927744E-03,-40.97618732E-03,-5.10135900E-03
-322.71875E-06,-353.31851908E-03,-41.20917041E-03,-5.16531514E-03
-322.63281E-06,-355.79910380E-03,-41.36620559E-03,-5.18358833E-03
-322.54688E-06,-358.33793429E-03,-41.55921609E-03,-5.18073314E-03
-322.46094E-06,-360.71573234E-03,-41.75907904E-03,-5.11963218E-03
