x-axis,2,3
second,Volt,Volt
-2.5000000E-03,+512.6413262E-03,+2.9287060E-03
-2.4992000E-03,+300.4868058E-03,-14.9733039E-03
-2.4984000E-03,+88.1752503E-03,-32.8753137E-03
-2.4976000E-03,-116.9126872E-03,-50.9500623E-03
-2.4968000E-03,-319.0169564E-03,-68.8991827E-03
-2.4960000E-03,-518.7656980E-03,-86.4871222E-03
-2.4952000E-03,-714.7455954E-03,-103.2113682E-03
-2.4944000E-03,-908.5270003E-03,-119.9042073E-03
-2.4936000E-03,-1.0914729783E+00,-135.7176493E-03
-2.4928000E-03,-1.2648398106E+00,-150.7145084E-03
-2.4920000E-03,-1.4300408138E+00,-164.8319706E-03
-2.4912000E-03,-1.5848774956E+00,-178.2741815E-03
-2.4904000E-03,-1.7265232227E+00,-190.7741814E-03
-2.4896000E-03,-1.8596890504E+00,-201.9079752E-03
-2.4888000E-03,-1.9746387979E+00,-211.5185279E-03
-2.4880000E-03,-2.0757694501E+00,-220.6422715E-03
-2.4872000E-03,-2.1688913084E+00,-228.3998091E-03
-2.4864000E-03,-2.2475659307E+00,-234.6812161E-03
-2.4856000E-03,-2.3146199501E+00,-240.1774472E-03
-2.4848000E-03,-2.3683259797E+00,-243.9934019E-03
-2.4840000E-03,-2.4102543712E+00,-246.2390049E-03
-2.4832000E-03,-2.4397769839E+00,-247.5738039E-03
-2.4824000E-03,-2.4612908028E+00,-247.1341054E-03
-2.4816000E-03,-2.4689855263E+00,-245.2653868E-03
-2.4808000E-03,-2.4677292449E+00,-242.4230502E-03
-2.4800000E-03,-2.4561086420E+00,-237.8847336E-03
-2.4792000E-03,-2.4344377880E+00,-231.9016935E-03
-2.4784000E-03,-2.4006752255E+00,-225.0235529E-03
-2.4776000E-03,-2.3576475878E+00,-216.4808394E-03
-2.4768000E-03,-2.3045696989E+00,-207.2785782E-03
-2.4760000E-03,-2.2389289961E+00,-196.9770708E-03
-2.4752000E-03,-2.1615106552E+00,-185.0423975E-03
-2.4744000E-03,-2.0707443246E+00,-172.2597343E-03
-2.4736000E-03,-1.9707129186E+00,-158.3464179E-03
-2.4728000E-03,-1.8585898042E+00,-143.9462924E-03
-2.4720000E-03,-1.7320194538E+00,-128.4469207E-03
-2.4712000E-03,-1.5941425709E+00,-112.4293330E-03
-2.4704000E-03,-1.4455872961E+00,-95.5794588E-03
-2.4696000E-03,-1.2874528757E+00,-78.5568459E-03
-2.4688000E-03,-1.1187970986E+00,-60.7019466E-03
-2.4680000E-03,-940.8762462E-03,-42.5486804E-03
-2.4672000E-03,-756.2028813E-03,-24.8508163E-03
-2.4664000E-03,-566.8184613E-03,-6.8074748E-03
-2.4656000E-03,-376.3347950E-03,+11.1573491E-03
-2.4648000E-03,-182.8674604E-03,+29.1849871E-03
-2.4640000E-03,+15.9390702E-03,+47.5581025E-03
-2.4632000E-03,+215.2167062E-03,+65.4601124E-03
-2.4624000E-03,+414.6513775E-03,+82.9381273E-03
-2.4616000E-03,+612.2016266E-03,+100.0235542E-03
-2.4608000E-03,+808.8096647E-03,+116.5122475E-03
-2.4600000E-03,+995.6815220E-03,+132.0744333E-03
-2.4592000E-03,+1.1703046357E+00,+146.7886291E-03
-2.4584000E-03,+1.3314227244E+00,+160.9217948E-03
-2.4576000E-03,+1.4837468434E+00,+173.7672720E-03
-2.4568000E-03,+1.6286903092E+00,+185.7333523E-03
-2.4560000E-03,+1.7648398052E+00,+196.8985532E-03
-2.4552000E-03,+1.8918812611E+00,+206.4934023E-03
-2.4544000E-03,+2.0091865363E+00,+215.2559650E-03
-2.4536000E-03,+2.1162845251E+00,+222.4638795E-03
-2.4528000E-03,+2.2161588959E+00,+228.4469197E-03
-2.4520000E-03,+2.3061400507E+00,+233.0480503E-03
-2.4512000E-03,+2.3830872860E+00,+236.4400100E-03
-2.4504000E-03,+2.4488850240E+00,+238.2773216E-03
-2.4496000E-03,+2.4989792446E+00,+238.4814673E-03
-2.4488000E-03,+2.5372958271E+00,+238.3715427E-03
-2.4480000E-03,+2.5608511032E+00,+236.0945326E-03
-2.4472000E-03,+2.5743561282E+00,+232.8124975E-03
-2.4464000E-03,+2.5723146709E+00,+227.6617438E-03
-2.4456000E-03,+2.5564541183E+00,+221.8043318E-03
-2.4448000E-03,+2.5259892946E+00,+214.1096083E-03
-2.4440000E-03,+2.4807631644E+00,+205.3470455E-03
-2.4432000E-03,+2.4198335168E+00,+195.5480507E-03
-2.4424000E-03,+2.3449277387E+00,+184.4142568E-03
-2.4416000E-03,+2.2525910563E+00,+172.3382519E-03
-2.4408000E-03,+2.1475345247E+00,+159.2101114E-03
-2.4400000E-03,+2.0283448275E+00,+145.0926492E-03
-2.4392000E-03,+1.8962782460E+00,+130.1743077E-03
-2.4384000E-03,+1.7448963381E+00,+114.5964184E-03
-2.4376000E-03,+1.5785960886E+00,+97.9192829E-03
-2.4368000E-03,+1.3992619197E+00,+80.9437805E-03
-2.4360000E-03,+1.2114478513E+00,+63.0888812E-03
-2.4352000E-03,+1.0091865470E+00,+45.3439065E-03
-2.4344000E-03,+798.9164487E-03,+26.8451630E-03
-2.4336000E-03,+585.1915766E-03,+8.8960426E-03
-2.4328000E-03,+372.5659508E-03,-8.9902637E-03
-2.4320000E-03,+160.0973601E-03,-26.8922736E-03
-2.4312000E-03,-47.8172105E-03,-44.9199116E-03
-2.4304000E-03,-252.9051480E-03,-62.9318461E-03
-2.4296000E-03,-452.6538896E-03,-80.7867454E-03
-2.4288000E-03,-650.6752443E-03,-97.6523231E-03
-2.4280000E-03,-845.0847899E-03,-114.5021973E-03
-2.4272000E-03,-1.0297581548E+00,-130.4726745E-03
-2.4264000E-03,-1.2084641830E+00,-145.9563427E-03
-2.4256000E-03,-1.3753925732E+00,-160.1680259E-03
-2.4248000E-03,-1.5336840288E+00,-173.9086037E-03
-2.4240000E-03,-1.6817681981E+00,-186.6912668E-03
-2.4232000E-03,-1.8163473424E+00,-198.3589803E-03
-2.4224000E-03,-1.9380496024E+00,-208.3935279E-03
-2.4216000E-03,-2.0456186967E+00,-217.7214173E-03
-2.4208000E-03,-2.1393686957E+00,-226.1699096E-03
-2.4200000E-03,-2.2230684435E+00,-232.6397588E-03
-2.4192000E-03,-2.2915357795E+00,-238.6856130E-03
-2.4184000E-03,-2.3523083919E+00,-242.8156381E-03
-2.4176000E-03,-2.3981626628E+00,-245.6422712E-03
-2.4168000E-03,-2.4309830142E+00,-247.5581004E-03
-2.4160000E-03,-2.4556375365E+00,-247.7151355E-03
-2.4152000E-03,-2.4677292449E+00,-245.9406381E-03
-2.4144000E-03,-2.4688284911E+00,-243.5222964E-03
-2.4136000E-03,-2.4600345214E+00,-239.6749346E-03
-2.4128000E-03,-2.4429176874E+00,-233.9431508E-03
-2.4120000E-03,-2.4163787430E+00,-227.6774473E-03
-2.4112000E-03,-2.3739792459E+00,-219.5273218E-03
-2.4104000E-03,-2.3246702012E+00,-210.4035781E-03
-2.4096000E-03,-2.2596576391E+00,-200.6045833E-03
-2.4088000E-03,-2.1889918107E+00,-189.1881261E-03
-2.4080000E-03,-2.1012091483E+00,-176.7195333E-03
-2.4072000E-03,-2.0040043755E+00,-163.0888802E-03
-2.4064000E-03,-1.8964352812E+00,-148.9714180E-03
-2.4056000E-03,-1.7756752322E+00,-133.6918956E-03
-2.4048000E-03,-1.6410960880E+00,-117.9412676E-03
-2.4040000E-03,-1.4953674463E+00,-101.2327250E-03
-2.4032000E-03,-1.3413159404E+00,-84.5398860E-03
-2.4024000E-03,-1.1761149372E+00,-66.6849867E-03
-2.4016000E-03,-1.0040043862E+00,-48.7358663E-03
-2.4008000E-03,-820.5873028E-03,-30.8652635E-03
-2.4000000E-03,-632.1450937E-03,-12.8847360E-03
-2.3992000E-03,-441.8184626E-03,+5.0172738E-03
-2.3984000E-03,-247.4089169E-03,+23.0763188E-03
-2.3976000E-03,-50.4868085E-03,+41.3238061E-03
-2.3968000E-03,+148.6337924E-03,+59.4613687E-03
-2.3960000E-03,+346.8121822E-03,+77.0650117E-03
-2.3952000E-03,+545.6187127E-03,+94.2289563E-03
-2.3944000E-03,+743.4830322E-03,+111.0317199E-03
-2.3936000E-03,+934.5948392E-03,+126.9236795E-03
-2.3928000E-03,+1.1126727268E+00,+141.9519457E-03
-2.3920000E-03,+1.2792870466E+00,+156.2892571E-03
-2.3912000E-03,+1.4328674470E+00,+169.5587293E-03
-2.3904000E-03,+1.5798523700E+00,+181.8074729E-03
-2.3896000E-03,+1.7225973434E+00,+193.2867442E-03
-2.3888000E-03,+1.8508950807E+00,+203.3212918E-03
-2.3880000E-03,+1.9718121648E+00,+212.3037038E-03
-2.3872000E-03,+2.0822078923E+00,+220.3282012E-03
-2.3864000E-03,+2.1839666852E+00,+226.4054624E-03
-2.3856000E-03,+2.2763033676E+00,+231.8074724E-03
-2.3848000E-03,+2.3601601506E+00,+235.3564673E-03
-2.3840000E-03,+2.4284704514E+00,+237.9475477E-03
-2.3832000E-03,+2.4829616568E+00,+238.3401356E-03
-2.3824000E-03,+2.5242619076E+00,+238.5128743E-03
-2.3816000E-03,+2.5551978370E+00,+236.9582261E-03
-2.3808000E-03,+2.5718435654E+00,+233.8803367E-03
-2.3800000E-03,+2.5752983393E+00,+229.5147588E-03
-2.3792000E-03,+2.5633636660E+00,+223.7829750E-03
-2.3784000E-03,+2.5387091437E+00,+216.9833519E-03
-2.3776000E-03,+2.4978799984E+00,+208.3621209E-03
-2.3768000E-03,+2.4418184412E+00,+198.9871210E-03
-2.3760000E-03,+2.3714666831E+00,+188.1831010E-03
-2.3752000E-03,+2.2854114077E+00,+176.4525735E-03
-2.3744000E-03,+2.1852229665E+00,+163.8426490E-03
-2.3736000E-03,+2.0699591487E+00,+149.8979255E-03
-2.3728000E-03,+1.9419754817E+00,+135.2308403E-03
-2.3720000E-03,+1.7965609104E+00,+119.8570967E-03
-2.3712000E-03,+1.6362279976E+00,+103.6039562E-03
-2.3704000E-03,+1.4603486024E+00,+86.5970468E-03
-2.3696000E-03,+1.2737908155E+00,+69.1033284E-03
-2.3688000E-03,+1.0745131794E+00,+51.3269467E-03
-2.3680000E-03,+869.1111716E-03,+33.0323489E-03
-2.3672000E-03,+654.7581588E-03,+14.9261933E-03
-2.3664000E-03,+442.6036385E-03,-3.0229271E-03
-2.3656000E-03,+229.3498719E-03,-21.0505651E-03
-2.3648000E-03,+20.3360551E-03,-38.7484292E-03
-2.3640000E-03,-183.3385659E-03,-57.0430270E-03
-2.3632000E-03,-385.5998702E-03,-74.9450369E-03
-2.3624000E-03,-585.5056470E-03,-92.0618709E-03
